PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,494395167,171342587,CC1=CC=C(C=C1)S(=O)(=O)N2C[C@@]34CN(C[C@@H](O3)[C@@H]5[C@H]4[C@]2(CC[C@@H]5OCCCN(C)C)C(C)C)CC6=CC(=CC(=C6)OC)OC,Active,,,,7.7,CC50,=,7700,nM,
2,494395795,171342989,CC1=CC=C(C=C1)S(=O)(=O)N2C[C@@]34CN(C[C@@H](O3)[C@@H]5[C@H]4[C@]2(CC[C@@H]5O)C(C)C)C(=O)C6=CC=CS6,Unspecified,,,,50,CC50,>,50000,nM,
3,494396688,171343578,CC1=CC=C(C=C1)S(=O)(=O)N2C[C@@]34CN(C[C@@H](O3)[C@@H]5[C@H]4[C@]2(CC[C@@H]5O)C(C)C)C(=O)C6=NC=C(C=C6)N,Unspecified,,,,50,CC50,>,50000,nM,
4,494398803,171344928,CC1=CC=C(C=C1)S(=O)(=O)N2C[C@@]34CN(C[C@@H](O3)[C@@H]5[C@H]4[C@]2(CC[C@@H]5O)C(C)C)CC6=NC7=CC=CC=C7S6,Unspecified,,,,12,CC50,=,12000,nM,
5,494398920,171345008,CC1=CC=C(C=C1)S(=O)(=O)N2C[C@@]34CN(C[C@@H](O3)[C@@H]5[C@H]4[C@]2(CC[C@@H]5O)C(C)C)CC6=CC(=CC(=C6)OC)OC,Unspecified,,,,13,CC50,=,13000,nM,
