PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,242576314,71481120,CC(C)C[C@@H](C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O)NC(=O)OCC2=CC=CC=C2,Active,,,,0.001,IC50,=,1,nM,
2,242576314,71481120,CC(C)C[C@@H](C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O)NC(=O)OCC2=CC=CC=C2,Active,,,,0.0006918,IC50,=,0.6918,nM,
3,440225547,957599,CC1=CC=CC2=NC(=CN12)CSC(=S)NCC3=CN=CC=C3,Unspecified,,,,122,IC50,=,122000,nM,Outside typical range
4,440225547,957599,CC1=CC=CC2=NC(=CN12)CSC(=S)NCC3=CN=CC=C3,Unspecified,,,,123.027,IC50,=,123027,nM,Outside typical range
5,504837335,172469288,C1=CC(=CN=C1)CNC(=S)[S-].[K+],Unspecified,,,,42.8,IC50,=,42800,nM,
6,504837335,172469288,C1=CC(=CN=C1)CNC(=S)[S-].[K+],Unspecified,,,,42.6579,IC50,=,42657.9,nM,
